registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-cert-manager-operator,3.6.3,sha256:e5e18f3b5dbf2204a10c3bc42ea1f9f94349693ff1a81c6d1f01c1d1d806507e,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-cert-manager-operator,3.6.3-amd64,sha256:8c980d80f9e9820d2806b625a2fe04364c2e7ae7766d5cffb5a9667938a98cd8,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-cert-manager-operator,3.6.3-ppc64le,sha256:79e2f8b8f5cae180cc92a230c32003d7b0ccac9ba9329f1e092bfe03c19034e2,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-cert-manager-operator,3.6.3-s390x,sha256:4f19d636d6e9aa7861e3248253d538f396dabfbc3e8c0bb5ede14f4e021b88fb,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-cert-manager-controller,0.10.5,sha256:cf12ad00d4e1a41136b57d28e1580cbeb4b3ee7decd3aef36996846cbdf82325,LIST,"","","",0,CASE
quay.io,opencloudio/icp-cert-manager-controller,0.10.5-amd64,sha256:6ff6f667ea74f9945aec2e56d2da855c44af273a74226285c1f2b4cce6618d25,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-cert-manager-controller,0.10.5-ppc64le,sha256:a434f05a79e425dd29819e73b7dadc605f0aca0095ad3a96c2ec5eef1ca69386,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-cert-manager-controller,0.10.5-s390x,sha256:3c014f14ca4934e41dce1da3e138b26d69776256ec245624f3849b7ddc9a6bf9,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-cert-manager-webhook,0.10.5,sha256:c0fc6219d4e4f04af4a2d2e9966e584a23cce3fa127ad42680d9a7da45a4be1b,LIST,"","","",0,CASE
quay.io,opencloudio/icp-cert-manager-webhook,0.10.5-amd64,sha256:d50b954900e11ee244de578f0cdc5d781068c5f89d0aeba55035a2b2cff40a11,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-cert-manager-webhook,0.10.5-ppc64le,sha256:183fc194824243980bfcf9a2cf5aadd3c294fd23241001b670d10a1c05b2c90a,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-cert-manager-webhook,0.10.5-s390x,sha256:fd8b5f701fd4aa3c99746fc66e243ec2e725ae1f9a64c115f8b99b6d122dc01b,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-cert-manager-cainjector,0.10.5,sha256:8d1affe3688b13ddf2844c6f75e54bdb62fa2f3e3be135a4caf7c3b886dc9ab3,LIST,"","","",0,CASE
quay.io,opencloudio/icp-cert-manager-cainjector,0.10.5-amd64,sha256:21ea71d6456adc8426f08690d50ea50cd323f9dfe2bfe4301519c09c0b95077b,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-cert-manager-cainjector,0.10.5-ppc64le,sha256:01c39dfb639e1f5121d4bf0d90dc6cb3e334e9945b22bf1d2eb158f41b4f8d36,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-cert-manager-cainjector,0.10.5-s390x,sha256:d480f37a517ffb3bf22325a9bac20a37553be694ed5029964e989b06f2d7992c,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-cert-manager-acmesolver,0.10.5,sha256:98264fbdd2fe8bd5ebb9b17214b48e4c8c634051bf3fd2ed58170b4b0aaed0a6,LIST,"","","",0,CASE
quay.io,opencloudio/icp-cert-manager-acmesolver,0.10.5-amd64,sha256:543adf846a8fa2afdcd85164d7d1f21e555a24cd19b42f364abbb00c54b55df3,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-cert-manager-acmesolver,0.10.5-ppc64le,sha256:d8eb7798268475dfc55a8ac6a23bee4145ef5ee6aa14ab4308ffeb73ec010b68,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-cert-manager-acmesolver,0.10.5-s390x,sha256:55d4b8a24a9c70290b7372b644b1e56c097b0d2faab76e8bdaf3a211685ddb2c,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-configmap-watcher,3.3.2,sha256:6f6bd9ae19b9f9ed8c013b889931c01a2fab9051b7ffe90161a089045ba3eaa9,LIST,"","","",0,CASE
quay.io,opencloudio/icp-configmap-watcher,3.3.2-amd64,sha256:08d0d26616a6210aa7e030f48bd026970b94361658988e75b8a1c2099e3e5a96,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-configmap-watcher,3.3.2-ppc64le,sha256:33767ff3754dba5a54fe05c3acfe9d9b05eef8d5adb13038c1b75bcd1b06506b,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-configmap-watcher,3.3.2-s390x,sha256:fa51c4780e8dadc65f4843d5c48827f73fea5fd19e1d17eacb180921c20d0a79,IMAGE,linux,s390x,"",0,CASE
