registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/common-service-operator,3.4.3,sha256:c117b84595e507381d7fc635cdcaab6146a299579990b9514a1ab7a099f5f8f8,LIST,"","","",0,CASE
quay.io,opencloudio/common-service-operator,3.4.3-amd64,sha256:133452d09f1d3b0b09603b2080bf82c75c280019a9f0a1467244e9ee3c923646,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-secretshare-operator,v1.1,sha256:9c49e926d5034f34935d54cecfc282a448c7ac6bf511742a3c0cc34dcc28190e,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-secretshare-operator,v1.1-amd64,sha256:5c3618237d5de8d416d2b1acb74b9b01eec0af191a47dd430b11d283282cdf64,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-cs-webhook,1.0.0,sha256:3e03c060166bb5df5afa206e7d32b664243d16931dea0545b01d06909bb60e96,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-cs-webhook,1.0.0-amd64,sha256:cc2d0313f3c867a7afe16e3f8d9d0ee7556b3f7cc73a6286b8a2828169b32b46,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/must-gather,4.4.1,sha256:187fa557de94c9a9443f16e4643dd395fc69585ecbd968f5f63b2d72b1012510,LIST,"","","",0,CASE
quay.io,opencloudio/must-gather,4.4.1-amd64,sha256:7283ab987f2dc5a64163418bf4e04d36717c88f55faa2f88a25dc53a6f06e8e8,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-common-service-catalog,3.4-Fix2,sha256:0cdef44fad5231c9ea3e519605f480b89dd15e4aa20201153c9ad73988559736,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-common-service-catalog,d2c7b4d6-amd64,sha256:24802fd12370065bb230dda514043a3c297e88e428f87bbdbb978880acd73d6f,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/odlm,1.2.3,sha256:5de37572a1cd21be404195a96b4e1beb59f8ac421c56dde95010cec4ac7afea5,LIST,"","","",0,CASE
quay.io,opencloudio/odlm,1.2.3-amd64,sha256:63c05104f82db8e67f04d3243cfa73a416cf009357331a3ad190ce0075915bdd,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-cs-upgrade-to3.4,v0.8,sha256:b09ea56fb6de9af25d47d3f5197fa6c6e87065c650516dbecbe3198ed1a477b7,LIST,"","","",0,CASE
