registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-iam-operator,3.6.5,sha256:81a8b536c06a8f3186c4cbff6a27806f7afc9467b07280d458fe6c595b396310,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-iam-operator,3.6.5-amd64,sha256:a06a1e90c01341616ee5baed43a996886dbc1e342ed5a57cfb771ac3ea888af2,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-iam-operator,3.6.5-ppc64le,sha256:6d9638adf7973c0d51b52d7e36166d2cb4f78f210b67505da9f3e7a55622ff5b,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-iam-operator,3.6.5-s390x,sha256:374c52e109a9e1e39c785b9e93f76e8d554b6aee30958a0cc64b5cd3024a2e87,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1,sha256:24a220374c39652f8b031637d852995bfaec5be2601f9e4c41eb1925531f466d,LIST,"","","",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-amd64,sha256:fa7d416c4b377911972b3018fa1e24c37e225c19043529aee667cbc608ec8cc2,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-ppc64le,sha256:41b705f6538aacca8fbb1434b95b4ecd2c8a53e454256f68c194c5c4ae1f5dd8,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-s390x,sha256:318b0fed5b4fa43dffbf0fcc181d6b77ef882157ff072d4b60d3657f915533ce,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-oidcclient-watcher,3.3.2,sha256:0c49e27b3d4f32001e568a62abdfaecdb41f10194cf5a9ccf87ebfbdd2808fd4,LIST,"","","",0,CASE
quay.io,opencloudio/icp-oidcclient-watcher,3.3.2-amd64,sha256:ef1008d0add206466f1a670af06a46c42d8a8e38c5c5561620c969340f2066d9,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-oidcclient-watcher,3.3.2-ppc64le,sha256:786c8508943c6506d81831d6a50ce178d386ee877514994596c015ac9d5af6c0,IMAGE,linux,ppc64le,"",0,CASE
