registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-monitoring-exporters-operator,1.9.1,sha256:0d19c31d513e1c1924d354825fae4e4886f56269f56295615068d7d843f4cb15,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-monitoring-exporters-operator,1.9.1-ppc64le,sha256:c7dbe6470e0434f33ce7406affe2d7d7611898e87cbd66e87489eed3bed93f42,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-monitoring-exporters-operator,1.9.1-amd64,sha256:a3cf176d80f21cc9c079bb28c29c3224a8700aaa3935da99ff6ab9ddb7b82fbe,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-monitoring-exporters-operator,1.9.1-s390x,sha256:5039604c2be1c801c9e925aab421fce9c51b2f5324bac9ae136ba3ddce2de332,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3,sha256:f6694ea8a461468989874b4b091f1d64366eacb9821cc9836d8100e34f333634,LIST,"","","",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3-ppc64le,sha256:8ed96c36bd8d2720616c5787ac0773242c84790b167ef31c25e632d40eb45d83,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3-amd64,sha256:b7ac188fb0cc18f1155ca6ab7af3394d0d5aaf213051130b444c8a20e5fccc7d,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3-s390x,sha256:eaa2b3eacb9dabffeb1fa66e0e06ff5b7d14d5c10d085f9792f0b44c6a1b59f4,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/collectd-exporter,v0.4.0-build.5,sha256:03a5725f69f764dd5967ecc9b1b84cd8745034bdb7dc659805f3158d9b954657,LIST,"","","",0,CASE
quay.io,opencloudio/collectd-exporter,v0.4.0-build.5-ppc64le,sha256:08273db0e6b431b0e04911e91eb5adab499faca764b62200d23698a745fe1058,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/collectd-exporter,v0.4.0-build.5-amd64,sha256:c6e146c4d750eb226914a7eea2529af86853012b86592cf6915e161e8b2b4f34,IMAGE,linux,amd64,"",0,CASE
