registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-helm-api-operator,3.6.1,sha256:41f06e26edb59ac1a52b482c16dc2331117f7de4424f28e56562552d56c71ed9,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-helm-api-operator,3.6.1-ppc64le,sha256:e51af8e1078ab31a477674c9f9a9e5ae6b2d4e9c5af6ae238155cf35ec7cd402,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-helm-api-operator,3.6.1-amd64,sha256:2cc47ec023cb6a01dc2a654f415b898e45daa711f4172a91c817d945bad08ea3,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-helm-api-operator,3.6.1-s390x,sha256:41b4186192943fca3e3b0712e89011c0b9ec854f4ed2da646e32d368f9977fdf,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-helm-api,3.4.2,sha256:22c535980cacbc4152eb1a9c3954f669c5078a0d8a320836d2ac63a2616b589a,LIST,"","","",0,CASE
quay.io,opencloudio/icp-helm-api,3.4.2-ppc64le,sha256:70c7b594fe70a2b30aee1e481275e75e4945247956ba1d6c05009045b48ac226,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-helm-api,3.4.2-amd64,sha256:37aca99d0b4645877a8a3487f01a48cca140560e249a85a2eb5efc22c9bfc3db,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-helm-api,3.4.2-s390x,sha256:618c18c301d73d67c8bbb48dac4c44427b47411d467ec2ed289c096963630c0b,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1,sha256:24a220374c39652f8b031637d852995bfaec5be2601f9e4c41eb1925531f466d,LIST,"","","",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-ppc64le,sha256:41b705f6538aacca8fbb1434b95b4ecd2c8a53e454256f68c194c5c4ae1f5dd8,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-amd64,sha256:fa7d416c4b377911972b3018fa1e24c37e225c19043529aee667cbc608ec8cc2,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-s390x,sha256:318b0fed5b4fa43dffbf0fcc181d6b77ef882157ff072d4b60d3657f915533ce,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-helm-rudder,3.3.1,sha256:437c980277a700f7f53db1ac88ae1d10488033b52422bf17654a82717c6f22af,LIST,"","","",0,CASE
quay.io,opencloudio/icp-helm-rudder,3.3.1-ppc64le,sha256:734234f5a2c8e327fa7f8313b553c56214eb3097c9c85148ea70a5052ae562e3,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-helm-rudder,3.3.1-amd64,sha256:bbdaf62e30786da2c883d248dd958fc0794f5736ae15a1a7e38ee4b103a61680,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-helm-rudder,3.3.1-s390x,sha256:fd835099a61bdb78da45cc0592f89e09cf6e06bcde58b8a2898161f7bb4b6a52,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/tiller,v2.16.1-cs-3.3.1,sha256:a7539700cdc49623efd9c049760d9b5c32329c498be55f30a87835afdc43fe47,LIST,"","","",0,CASE
quay.io,opencloudio/tiller,v2.16.1-cs-3.3.1-ppc64le,sha256:39a482d17b78e5d55d610e3acbdcd3b3d3f3aa96c8b93dcbdd31586caf7a8275,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/tiller,v2.16.1-cs-3.3.1-amd64,sha256:d094034959b619670f8bf04f5a55fb463bdffdc19aacd3ec946c44365036fc5c,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/tiller,v2.16.1-cs-3.3.1-s390x,sha256:a17e1d107b2c6e8dbd33fcd688aab2ab923e4f2de82b67f4db06e8604e9ba141,IMAGE,linux,s390x,"",0,CASE
