registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-helm-repo-operator,3.6.2,sha256:21915f2bc601b6c0e7a4c1a7bf1ffde2570784940aea32722e61353745e2c649,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-helm-repo-operator,3.6.2-ppc64le,sha256:a8d3d1bfe28f9be4d6943872d519c3c0f5a140930ac5eb86c188df3b467462d8,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-helm-repo-operator,3.6.2-amd64,sha256:1f312a755e0ef4576fd7f3b55c77fe8a789ca0aa2b614b5d5a2c576e62fe17dd,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-helm-repo-operator,3.6.2-s390x,sha256:d0435e6f1eeb2da00b9d386ac80399b0958cf994966dc87b00fd77cb83069bbd,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-helm-repo,3.3.2,sha256:85c4a66efc7eabf2a7cca18730362b2dc2731edd061983948f73757eb3af21fa,LIST,"","","",0,CASE
quay.io,opencloudio/icp-helm-repo,3.3.2-ppc64le,sha256:b7b321475b98a6aeb7d133111ad6d7d859e0b7c68da7f5d5ef130eff4c3061d0,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-helm-repo,3.3.2-amd64,sha256:839e39e1d69003590ee5d9d511c4ac338c31a477a18e3da103dc92f04da280e7,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-helm-repo,3.3.2-s390x,sha256:490c7f7e915ca931b3863c9ae85a7921932f42b9a91f3d40d55eecf3c3d6e9df,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1,sha256:24a220374c39652f8b031637d852995bfaec5be2601f9e4c41eb1925531f466d,LIST,"","","",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-ppc64le,sha256:41b705f6538aacca8fbb1434b95b4ecd2c8a53e454256f68c194c5c4ae1f5dd8,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-amd64,sha256:fa7d416c4b377911972b3018fa1e24c37e225c19043529aee667cbc608ec8cc2,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-s390x,sha256:318b0fed5b4fa43dffbf0fcc181d6b77ef882157ff072d4b60d3657f915533ce,IMAGE,linux,s390x,"",0,CASE
