registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-management-ingress-operator,1.2.1,sha256:cc474d2e2b0356e64092f7441fa92c9411e6d9810c5f136d3e3b8c3c8cddefed,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-management-ingress-operator,1.2.1-amd64,sha256:8930fe4bc1a75bec3b457efcb7d60b3beef28da45f0bec1c0093e308c01375ee,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-management-ingress-operator,1.2.1-ppc64le,sha256:bbebdd35d1af4666187eb015efa0fc33a057080cfa1f787d1a17797ff19afb09,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-management-ingress-operator,1.2.1-s390x,sha256:3166852c47842a0d03ba6d30048c746c850505d1fba2f1dbd4fd3bb78c277d89,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3,sha256:f6694ea8a461468989874b4b091f1d64366eacb9821cc9836d8100e34f333634,LIST,"","","",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3-amd64,sha256:b7ac188fb0cc18f1155ca6ab7af3394d0d5aaf213051130b444c8a20e5fccc7d,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3-ppc64le,sha256:8ed96c36bd8d2720616c5787ac0773242c84790b167ef31c25e632d40eb45d83,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-management-ingress,2.5.3-s390x,sha256:eaa2b3eacb9dabffeb1fa66e0e06ff5b7d14d5c10d085f9792f0b44c6a1b59f4,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/ibm-ingress-nginx-operator,1.2.2,sha256:0c7f6328bd492b784f262f937d6df54765c64bdaab9aead1b1fcacad25983f1b,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-ingress-nginx-operator,1.2.2-amd64,sha256:798b12d55a5c452cbc7fac4a09a37cb71ac2bb35128bdae942b0d414851312e3,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-ingress-nginx-operator,1.2.2-ppc64le,sha256:36e8aec614d061e52cc04b95a26abad91fbab0dd6a1c0a29b4d9aff1a1bdbd27,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-ingress-nginx-operator,1.2.2-s390x,sha256:828c1f9b8c23236dbde39ff9562e0c018b2d1ea5aee4f93b14e1ddd044dd4778,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/default-http-backend,1.5.4,sha256:2a5e3bfe7a771d36ad186e2ab8303ea2fbb854b4a7437e7c3b3f1d8e87d9e286,LIST,"","","",0,CASE
quay.io,opencloudio/default-http-backend,1.5.4-amd64,sha256:30f04d7901a55449f848cdc4b5ee49390da1aa2fcc2f32ba0352ea6f482a61ad,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/default-http-backend,1.5.4-ppc64le,sha256:d9cccf5902d43f7c930383e07b08b6acec78ae516b3974a041376cca4c0b39a5,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/default-http-backend,1.5.4-s390x,sha256:90a573d66c320258cbdeffea14b1209f369ba970ca0cb7c69680eb0b268cf912,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/nginx-ingress-controller,0.23.6,sha256:a58b51919d27190f52460b6d381ad0b60eb59d719d261e79b0f11c3f5bab98f9,LIST,"","","",0,CASE
quay.io,opencloudio/nginx-ingress-controller,0.23.6-amd64,sha256:ded7cdc645e3031f2614e5dc0d888ce7b9290a6ce8c8d73e95a02e9a3fc378de,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/nginx-ingress-controller,0.23.6-ppc64le,sha256:3567fcf755bc2980649e89462ea6678fc14a8a223d9c300a4cbdb49ac8357526,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/nginx-ingress-controller,0.23.6-s390x,sha256:e8f947fe6808cf93dfa793b337395d761fcbf483038056495f3b2bbe4d25697d,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4,sha256:9aad9fd724ec9308bec711d7738b5f0ae0c37a72ffb19a26dbcf622f1a603e89,LIST,"","","",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4-amd64,sha256:61ebcd93062f6ea481cfa0b59eb9fb2708460040f82ce39baba46448b7f77da1,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4-ppc64le,sha256:dc5e40ea3e0e4decf2ded72891628fe5bed940ef7cb79e8e892321ba66e9a3f0,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-initcontainer,1.0.0-build.4-s390x,sha256:d58aa1f2dce91528609097af057761f87317a0437e41570e3af2a3ada430cf0a,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/kubectl,v1.15.9.1,sha256:deeb798aaa12142c95ba37bd90ae99ed112afda1170be321db8b1476c7ac9fdd,LIST,"","","",0,CASE
quay.io,opencloudio/kubectl,v1.15.9.1-amd64,sha256:223ae1432bf42db4e0eaba26f23c0a93dd11615f4981f3d095011a4bbdcccb8b,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/kubectl,v1.15.9.1-ppc64le,sha256:596944b27c61ac81af16f17ae7758af59cd1fce658013a718e30224499085916,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/kubectl,v1.15.9.1-s390x,sha256:a195ad620d34fa89052f251897203e779c9160b8a10f2170e1109abd47f7863c,IMAGE,linux,s390x,"",0,CASE
