registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-metering-operator,3.6.3,sha256:57ff1054c911e850f8f7eba6fbc8eca2a2ff9a7b145ec43712d64b063f48d793,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-metering-operator,3.6.3-amd64,sha256:c44cf46e1e4196e3df1d5edd2b92abde0a590dbde851d5762a59fb6a78c3a68d,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-metering-operator,3.6.3-ppc64le,sha256:e6953b22e79edef51016f726fe3b41d25033597d344391470ffb639b9c349184,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-metering-operator,3.6.3-s390x,sha256:7a7e6d6f2556d55362cf78e24b2967ac0164ebcd77fc586bf15527de32d4b0c4,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/metering-data-manager,3.5.1,sha256:021f50d07927203eaaf7bf522d9f95c456ac751c34e90d46d1178990b0940612,LIST,"","","",0,CASE
quay.io,opencloudio/metering-data-manager,3.5.1-amd64,sha256:8d6ac2dd8b001abbedc5302a8e98c7cc9036a3c59b13d9dc7e49d3086fcf3bf0,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/metering-data-manager,3.5.1-ppc64le,sha256:90ad2096d3ab159826ae4b05e627fba6373686e44d4d1894ae7c48b0ee5792fc,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/metering-data-manager,3.5.1-s390x,sha256:4953127213897a510cfda3753835c69cef60b93ade81c318c57674474616465b,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/metering-ui,3.5.1,sha256:b296418a5f844f9e880b4e939cf0ed243641bc89ad761c2059a315b0c6e84470,LIST,"","","",0,CASE
quay.io,opencloudio/metering-ui,3.5.1-amd64,sha256:e51f53baefb8e06b195c245e25192c2113c5e319e8ab405a3b8dff448ce30723,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/metering-ui,3.5.1-ppc64le,sha256:e701ebfcb8e81601e8d22e43f152739f59f84920ae16b008d47a35dd97eaaf63,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/metering-ui,3.5.1-s390x,sha256:3f1602551b5125da315e3a4f533cccd83a86288728f1a0c0c41a61994930e4ea,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/metering-report,3.5.1,sha256:143c4c76d173319751db2632e318142e05db5a07a1491d9dcfeb09f92fac9fe3,LIST,"","","",0,CASE
quay.io,opencloudio/metering-report,3.5.1-amd64,sha256:0a3c4a28956e242ba473c9e030130da0b6b335fbef363b0d11d0b43f0a6195fc,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/metering-report,3.5.1-ppc64le,sha256:7acb17841b6f06bc7c77b5238b0623a76d2793121950d2467be1ec78ac683142,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/metering-report,3.5.1-s390x,sha256:46375336b6757bfce4d3d864b368580ca61c7eb5952a835cdaff78347c43f575,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/metering-mcmui,3.5.2,sha256:8a7d763ae45e845fcb87d8d1cd23bdcf0353006de53eb4cb0a15e38455206b3b,LIST,"","","",0,CASE
quay.io,opencloudio/metering-mcmui,3.5.2-amd64,sha256:aeade5affff08fe630a70b9a8924cb942fd7d5594959747b6540edd83ab66250,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/metering-mcmui,3.5.2-ppc64le,sha256:246e9a3145628f8dfb012ae5bb8c382fee395b341dbb4bb8a3797651b7c81c8c,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/metering-mcmui,3.5.2-s390x,sha256:f9167d4a05926f54fd960679543c4173be7f098041b8eef6bc78c76fe69921e9,IMAGE,linux,s390x,"",0,CASE
