registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source
quay.io,opencloudio/ibm-platform-api-operator,3.6.2,sha256:4931277a5998b2757d1d13cc30858241e754afe0080d52e1d22781ae3127a485,LIST,"","","",0,CASE
quay.io,opencloudio/ibm-platform-api-operator,3.6.2-ppc64le,sha256:830c60a84b5102060b06df9202bb8ba8c810805044ccfa0d14143b9b048d77b4,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/ibm-platform-api-operator,3.6.2-amd64,sha256:d86783df27c3528d4b86681d48765b5167350a020e45f14dd867614d6e86e894,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/ibm-platform-api-operator,3.6.2-s390x,sha256:2f72e372031a7110e272bfda5475cdf138ef1d75d5a59fed666d7eaf2d82171e,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-platform-api,3.4.2,sha256:39aef36abb932c1f07423649f13c093063c38aa05d08b2378f986203a3299a58,LIST,"","","",0,CASE
quay.io,opencloudio/icp-platform-api,3.4.2-ppc64le,sha256:7dc519b2e1b1023d34e4b06af3ca70a0164ff62c507401a5a7e13d7379aedb75,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-platform-api,3.4.2-amd64,sha256:b89aaa2910d51413608410f07a64c836d0d633926feaed82bedfda41c17591a6,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-platform-api,3.4.2-s390x,sha256:66e87556daa91617f52e410b18da5c4cf09ce7b02ddc5ecaad72a4abcc36d261,IMAGE,linux,s390x,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1,sha256:24a220374c39652f8b031637d852995bfaec5be2601f9e4c41eb1925531f466d,LIST,"","","",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-ppc64le,sha256:41b705f6538aacca8fbb1434b95b4ecd2c8a53e454256f68c194c5c4ae1f5dd8,IMAGE,linux,ppc64le,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-amd64,sha256:fa7d416c4b377911972b3018fa1e24c37e225c19043529aee667cbc608ec8cc2,IMAGE,linux,amd64,"",0,CASE
quay.io,opencloudio/icp-audit-service,3.4.1-s390x,sha256:318b0fed5b4fa43dffbf0fcc181d6b77ef882157ff072d4b60d3657f915533ce,IMAGE,linux,s390x,"",0,CASE
